[auto_annotate_v33] 开始监控 data/v3.3_run/results.jsonl
[13:02:03] 已完成: 63/314
[13:03:03] 已完成: 63/314
[13:04:03] 已完成: 63/314
[13:05:04] 已完成: 63/314
[13:06:04] 已完成: 63/314
[13:07:04] 已完成: 64/314
[13:08:04] 已完成: 64/314
[13:09:04] 已完成: 65/314
[13:10:04] 已完成: 65/314
[13:11:04] 已完成: 65/314
[13:12:04] 已完成: 65/314
[13:13:04] 已完成: 66/314
[13:14:04] 已完成: 66/314
[13:15:04] 已完成: 67/314
[13:16:04] 已完成: 67/314
[13:17:04] 已完成: 67/314
[13:18:04] 已完成: 68/314
[13:19:04] 已完成: 68/314
[13:20:04] 已完成: 69/314
[13:21:04] 已完成: 69/314
[13:22:04] 已完成: 69/314
[13:23:04] 已完成: 69/314
[13:24:04] 已完成: 70/314
[13:25:04] 已完成: 70/314
[13:26:04] 已完成: 71/314
[13:27:04] 已完成: 71/314
[13:28:04] 已完成: 71/314
[13:29:04] 已完成: 72/314
[13:30:05] 已完成: 72/314
[13:31:05] 已完成: 72/314
[13:32:05] 已完成: 73/314
[13:33:05] 已完成: 73/314
[13:34:05] 已完成: 74/314
[13:35:05] 已完成: 74/314
[13:36:05] 已完成: 74/314
[13:37:05] 已完成: 74/314
[13:38:05] 已完成: 75/314
[13:39:05] 已完成: 75/314
[13:40:05] 已完成: 76/314
[13:41:05] 已完成: 76/314
[13:42:06] 已完成: 76/314
[13:43:06] 已完成: 76/314
[13:44:06] 已完成: 77/314
[13:45:06] 已完成: 77/314
[13:46:06] 已完成: 77/314
[13:47:06] 已完成: 78/314
[13:48:06] 已完成: 78/314
[13:49:06] 已完成: 78/314
[13:50:06] 已完成: 79/314
[13:51:06] 已完成: 79/314
[13:52:06] 已完成: 79/314
[13:53:06] 已完成: 79/314
[13:54:06] 已完成: 80/314
[13:55:07] 已完成: 80/314
[13:56:07] 已完成: 80/314
[13:57:07] 已完成: 80/314
[13:58:07] 已完成: 80/314
[13:59:07] 已完成: 81/314
[14:00:07] 已完成: 81/314
[14:01:07] 已完成: 81/314
[14:02:07] 已完成: 82/314
[14:03:07] 已完成: 82/314
[14:04:07] 已完成: 82/314
[14:05:08] 已完成: 83/314
[14:06:08] 已完成: 83/314
[14:07:08] 已完成: 83/314
[14:08:08] 已完成: 84/314
[14:09:08] 已完成: 84/314
[14:10:08] 已完成: 85/314
[14:11:08] 已完成: 85/314
[14:12:08] 已完成: 85/314
[14:13:08] 已完成: 85/314
[14:14:08] 已完成: 86/314
[14:15:08] 已完成: 86/314
[14:16:08] 已完成: 87/314
[14:17:08] 已完成: 87/314
[14:18:08] 已完成: 88/314
[14:19:09] 已完成: 88/314
[14:20:09] 已完成: 89/314
[14:21:09] 已完成: 89/314
[14:22:09] 已完成: 90/314
[14:23:09] 已完成: 90/314
[14:24:09] 已完成: 91/314
[14:25:09] 已完成: 91/314
[14:26:09] 已完成: 91/314
[14:27:09] 已完成: 92/314
[14:28:09] 已完成: 92/314
[14:29:10] 已完成: 92/314
[14:30:10] 已完成: 93/314
[14:31:10] 已完成: 93/314
[14:32:10] 已完成: 93/314
[14:33:10] 已完成: 94/314
[14:34:10] 已完成: 94/314
[14:35:10] 已完成: 95/314
[14:36:10] 已完成: 95/314
[14:37:10] 已完成: 96/314
[14:38:10] 已完成: 96/314
[14:39:10] 已完成: 97/314
[14:40:10] 已完成: 97/314
[14:41:10] 已完成: 97/314
[14:42:10] 已完成: 97/314
[14:43:10] 已完成: 98/314
[14:44:10] 已完成: 98/314
[14:45:10] 已完成: 99/314
[14:46:10] 已完成: 99/314
[14:47:10] 已完成: 99/314
[14:48:10] 已完成: 99/314
[14:49:10] 已完成: 100/314
[14:50:10] 已完成: 100/314
[14:51:10] 已完成: 101/314
[14:52:11] 已完成: 101/314
[14:53:11] 已完成: 102/314
[14:54:11] 已完成: 102/314
[14:55:11] 已完成: 102/314
[14:56:11] 已完成: 103/314
[14:57:11] 已完成: 103/314
[14:58:11] 已完成: 103/314
[14:59:11] 已完成: 104/314
[15:00:11] 已完成: 104/314
[15:01:11] 已完成: 105/314
[15:02:11] 已完成: 105/314
[15:03:11] 已完成: 106/314
[15:04:12] 已完成: 106/314
[15:05:12] 已完成: 107/314
[15:06:12] 已完成: 107/314
[15:07:12] 已完成: 107/314
[15:08:12] 已完成: 108/314
[15:09:12] 已完成: 108/314
[15:10:12] 已完成: 109/314
[15:11:12] 已完成: 109/314
[15:12:12] 已完成: 110/314
[15:13:12] 已完成: 110/314
[15:14:12] 已完成: 111/314
[15:15:12] 已完成: 112/314
[15:16:12] 已完成: 112/314
[15:17:12] 已完成: 112/314
[15:18:12] 已完成: 113/314
[15:19:12] 已完成: 113/314
[15:20:12] 已完成: 114/314
[15:21:12] 已完成: 114/314
[15:22:12] 已完成: 114/314
[15:23:12] 已完成: 114/314
[15:24:12] 已完成: 115/314
[15:25:13] 已完成: 115/314
[15:26:13] 已完成: 115/314
[15:27:13] 已完成: 116/314
[15:28:13] 已完成: 116/314
[15:29:13] 已完成: 117/314
[15:30:13] 已完成: 117/314
[15:31:13] 已完成: 117/314
[15:32:13] 已完成: 118/314
[15:33:13] 已完成: 118/314
[15:34:14] 已完成: 119/314
[15:35:14] 已完成: 119/314
[15:36:14] 已完成: 120/314
[15:37:14] 已完成: 120/314
[15:38:14] 已完成: 121/314
[15:39:14] 已完成: 121/314
[15:40:14] 已完成: 121/314
[15:41:15] 已完成: 121/314
[15:42:15] 已完成: 121/314
[15:43:15] 已完成: 121/314
[15:44:15] 已完成: 121/314
[15:45:15] 已完成: 121/314
[15:46:15] 已完成: 122/314
[15:47:15] 已完成: 122/314
[15:48:15] 已完成: 122/314
[15:49:15] 已完成: 122/314
[15:50:15] 已完成: 123/314
[15:51:15] 已完成: 123/314
[15:52:15] 已完成: 124/314
[15:53:16] 已完成: 124/314
[15:54:16] 已完成: 125/314
[15:55:16] 已完成: 125/314
[15:56:16] 已完成: 126/314
[15:57:16] 已完成: 126/314
[15:58:16] 已完成: 126/314
[15:59:16] 已完成: 126/314
[16:00:16] 已完成: 126/314
[16:01:16] 已完成: 126/314
[16:02:16] 已完成: 127/314
[16:03:16] 已完成: 127/314
[16:04:16] 已完成: 127/314
[16:05:16] 已完成: 128/314
[16:06:16] 已完成: 128/314
[16:07:17] 已完成: 129/314
[16:08:17] 已完成: 129/314
[16:09:17] 已完成: 129/314
[16:10:17] 已完成: 130/314
[16:11:17] 已完成: 130/314
[16:12:17] 已完成: 131/314
[16:13:17] 已完成: 131/314
[16:14:17] 已完成: 132/314
[16:15:17] 已完成: 132/314
[16:16:17] 已完成: 132/314
[16:17:17] 已完成: 133/314
[16:18:17] 已完成: 133/314
[16:19:17] 已完成: 134/314
[16:20:17] 已完成: 134/314
[16:21:17] 已完成: 135/314
[16:22:17] 已完成: 135/314
[16:23:17] 已完成: 135/314
[16:24:17] 已完成: 136/314
[16:25:17] 已完成: 136/314
[16:26:17] 已完成: 136/314
[16:27:17] 已完成: 137/314
[16:28:17] 已完成: 137/314
[16:29:18] 已完成: 138/314
[16:30:18] 已完成: 138/314
[16:31:18] 已完成: 139/314
[16:32:18] 已完成: 139/314
[16:33:18] 已完成: 139/314
[16:34:18] 已完成: 140/314
[16:35:18] 已完成: 140/314
[16:36:18] 已完成: 141/314
[16:37:18] 已完成: 141/314
[16:38:18] 已完成: 141/314
[16:39:18] 已完成: 142/314
[16:40:19] 已完成: 142/314
[16:41:19] 已完成: 143/314
[16:42:19] 已完成: 143/314
[16:43:19] 已完成: 144/314
[16:44:19] 已完成: 144/314
[16:45:19] 已完成: 145/314
[16:46:19] 已完成: 145/314
[16:47:19] 已完成: 145/314
[16:48:19] 已完成: 145/314
[16:49:20] 已完成: 145/314
[16:50:20] 已完成: 146/314
[16:51:20] 已完成: 146/314
[16:52:20] 已完成: 146/314
[16:53:20] 已完成: 147/314
[16:54:20] 已完成: 147/314
[16:55:20] 已完成: 147/314
[16:56:20] 已完成: 148/314
[16:57:20] 已完成: 148/314
[16:58:20] 已完成: 149/314
[16:59:20] 已完成: 149/314
[17:00:20] 已完成: 149/314
[17:01:20] 已完成: 150/314
[17:02:20] 已完成: 150/314
[17:03:20] 已完成: 151/314
[17:04:20] 已完成: 151/314
[17:05:20] 已完成: 151/314
[17:06:20] 已完成: 151/314
[17:07:20] 已完成: 152/314
[17:08:20] 已完成: 152/314
[17:09:20] 已完成: 152/314
[17:10:20] 已完成: 153/314
[17:11:20] 已完成: 153/314
[17:12:20] 已完成: 154/314
[17:13:20] 已完成: 154/314
[17:14:20] 已完成: 154/314
[17:15:20] 已完成: 155/314
[17:16:20] 已完成: 155/314
[17:17:21] 已完成: 155/314
[17:18:21] 已完成: 155/314
[17:19:21] 已完成: 156/314
[17:20:21] 已完成: 156/314
[17:21:21] 已完成: 156/314
[17:22:21] 已完成: 156/314
[17:23:21] 已完成: 156/314
[17:24:21] 已完成: 156/314
[17:25:21] 已完成: 157/314
[17:26:21] 已完成: 157/314
[17:27:21] 已完成: 157/314
[17:28:21] 已完成: 157/314
[17:29:21] 已完成: 157/314
[17:30:21] 已完成: 158/314
[17:31:21] 已完成: 158/314
[17:32:21] 已完成: 159/314
[17:33:21] 已完成: 159/314
[17:34:21] 已完成: 159/314
[17:35:21] 已完成: 159/314
[17:36:21] 已完成: 159/314
[17:37:21] 已完成: 159/314
[17:38:21] 已完成: 159/314
[17:39:22] 已完成: 159/314
[17:40:22] 已完成: 159/314
[17:41:22] 已完成: 160/314
[17:42:22] 已完成: 160/314
[17:43:22] 已完成: 160/314
[17:44:22] 已完成: 161/314
[17:45:22] 已完成: 161/314
[17:46:22] 已完成: 161/314
[17:47:23] 已完成: 162/314
[17:48:23] 已完成: 162/314
[17:49:23] 已完成: 162/314
[17:50:23] 已完成: 162/314
[17:51:23] 已完成: 163/314
[17:52:23] 已完成: 164/314
[17:53:23] 已完成: 164/314
[17:54:23] 已完成: 165/314
[17:55:23] 已完成: 165/314
[17:56:23] 已完成: 166/314
[17:57:23] 已完成: 166/314
[17:58:23] 已完成: 166/314
[17:59:23] 已完成: 167/314
[18:00:23] 已完成: 167/314
[18:01:23] 已完成: 168/314
[18:02:23] 已完成: 168/314
[18:03:23] 已完成: 168/314
[18:04:23] 已完成: 168/314
[18:05:23] 已完成: 168/314
[18:06:23] 已完成: 168/314
[18:07:24] 已完成: 169/314
[18:08:24] 已完成: 169/314
[18:09:24] 已完成: 170/314
[18:10:24] 已完成: 170/314
[18:11:24] 已完成: 170/314
[18:12:24] 已完成: 170/314
[18:13:24] 已完成: 171/314
[18:14:24] 已完成: 171/314
[18:15:25] 已完成: 171/314
[18:16:25] 已完成: 172/314
[18:17:25] 已完成: 172/314
[18:18:25] 已完成: 172/314
[18:19:25] 已完成: 173/314
[18:20:25] 已完成: 173/314
[18:21:25] 已完成: 174/314
[18:22:25] 已完成: 174/314
[18:23:25] 已完成: 175/314
[18:24:25] 已完成: 175/314
[18:25:25] 已完成: 175/314
[18:26:25] 已完成: 176/314
[18:27:25] 已完成: 176/314
[18:28:25] 已完成: 176/314
[18:29:26] 已完成: 177/314
[18:30:26] 已完成: 177/314
[18:31:26] 已完成: 177/314
[18:32:26] 已完成: 177/314
[18:33:26] 已完成: 177/314
[18:34:26] 已完成: 178/314
[18:35:26] 已完成: 178/314
[18:36:26] 已完成: 178/314
[18:37:26] 已完成: 179/314
[18:38:26] 已完成: 179/314
[18:39:26] 已完成: 180/314
[18:40:26] 已完成: 181/314
[18:41:26] 已完成: 181/314
[18:42:26] 已完成: 181/314
[18:43:26] 已完成: 181/314
[18:44:26] 已完成: 182/314
[18:45:26] 已完成: 182/314
[18:46:26] 已完成: 182/314
[18:47:26] 已完成: 182/314
[18:48:27] 已完成: 183/314
[18:49:27] 已完成: 183/314
[18:50:27] 已完成: 184/314
[18:51:27] 已完成: 184/314
[18:52:27] 已完成: 184/314
[18:53:27] 已完成: 185/314
[18:54:27] 已完成: 185/314
[18:55:27] 已完成: 185/314
[18:56:27] 已完成: 186/314
[18:57:27] 已完成: 186/314
[18:58:27] 已完成: 186/314
[18:59:27] 已完成: 187/314
[19:00:27] 已完成: 187/314
[19:01:27] 已完成: 188/314
[19:02:27] 已完成: 188/314
[19:03:27] 已完成: 188/314
[19:04:27] 已完成: 189/314
[19:05:27] 已完成: 189/314
[19:06:27] 已完成: 190/314
[19:07:27] 已完成: 190/314
[19:08:27] 已完成: 190/314
[19:09:27] 已完成: 191/314
[19:10:27] 已完成: 191/314
[19:11:27] 已完成: 191/314
[19:12:27] 已完成: 192/314
[19:13:28] 已完成: 192/314
[19:14:28] 已完成: 193/314
[19:15:28] 已完成: 193/314
[19:16:28] 已完成: 194/314
[19:17:28] 已完成: 194/314
[19:18:28] 已完成: 195/314
[19:19:28] 已完成: 195/314
[19:20:28] 已完成: 196/314
[19:21:28] 已完成: 196/314
[19:22:28] 已完成: 196/314
[19:23:28] 已完成: 196/314
[19:24:28] 已完成: 197/314
[19:25:28] 已完成: 197/314
[19:26:29] 已完成: 197/314
[19:27:29] 已完成: 197/314
[19:28:29] 已完成: 198/314
[19:29:29] 已完成: 198/314
[19:30:29] 已完成: 198/314
[19:31:29] 已完成: 198/314
[19:32:29] 已完成: 199/314
[19:33:29] 已完成: 199/314
[19:34:29] 已完成: 199/314
[19:35:29] 已完成: 200/314
[19:36:29] 已完成: 200/314
[19:37:29] 已完成: 200/314
[19:38:29] 已完成: 201/314
[19:39:29] 已完成: 201/314
[19:40:29] 已完成: 201/314
[19:41:29] 已完成: 202/314
[19:42:29] 已完成: 202/314
[19:43:29] 已完成: 202/314
[19:44:30] 已完成: 202/314
[19:45:30] 已完成: 203/314
[19:46:30] 已完成: 203/314
[19:47:30] 已完成: 204/314
[19:48:30] 已完成: 204/314
[19:49:30] 已完成: 205/314
[19:50:30] 已完成: 205/314
[19:51:30] 已完成: 206/314
[19:52:30] 已完成: 206/314
[19:53:30] 已完成: 206/314
[19:54:30] 已完成: 207/314
[19:55:30] 已完成: 207/314
[19:56:30] 已完成: 207/314
[19:57:30] 已完成: 208/314
[19:58:30] 已完成: 208/314
[19:59:30] 已完成: 209/314
[20:00:30] 已完成: 209/314
[20:01:30] 已完成: 209/314
[20:02:31] 已完成: 210/314
[20:03:31] 已完成: 210/314
[20:04:31] 已完成: 210/314
[20:05:31] 已完成: 211/314
[20:06:31] 已完成: 211/314
[20:07:31] 已完成: 212/314
[20:08:31] 已完成: 212/314
[20:09:31] 已完成: 212/314
[20:10:31] 已完成: 213/314
[20:11:31] 已完成: 213/314
[20:12:31] 已完成: 213/314
[20:13:31] 已完成: 214/314
[20:14:31] 已完成: 214/314
[20:15:31] 已完成: 214/314
[20:16:31] 已完成: 214/314
[20:17:31] 已完成: 215/314
[20:18:31] 已完成: 215/314
[20:19:31] 已完成: 215/314
[20:20:31] 已完成: 216/314
[20:21:31] 已完成: 216/314
[20:22:31] 已完成: 216/314
[20:23:32] 已完成: 216/314
[20:24:32] 已完成: 217/314
[20:25:32] 已完成: 217/314
[20:26:32] 已完成: 217/314
[20:27:32] 已完成: 217/314
[20:28:32] 已完成: 218/314
[20:29:32] 已完成: 218/314
[20:30:32] 已完成: 219/314
[20:31:32] 已完成: 219/314
[20:32:32] 已完成: 219/314
[20:33:32] 已完成: 219/314
[20:34:32] 已完成: 220/314
[20:35:32] 已完成: 220/314
[20:36:32] 已完成: 220/314
[20:37:32] 已完成: 220/314
[20:38:32] 已完成: 221/314
[20:39:33] 已完成: 221/314
[20:40:33] 已完成: 221/314
[20:41:33] 已完成: 222/314
[20:42:33] 已完成: 222/314
[20:43:33] 已完成: 223/314
[20:44:33] 已完成: 223/314
[20:45:33] 已完成: 223/314
[20:46:33] 已完成: 223/314
[20:47:33] 已完成: 223/314
[20:47:33] 实验进程已退出，开始标注...

============================================
[auto_annotate_v33] 运行标注脚本...
============================================
Loaded 223 results from data/v3.3_run/results.jsonl
Loaded 314 enriched samples from data/dataset_100.enriched.jsonl
Annotated dataset -> data/v3.3_run/dataset_100.annotated.jsonl (314 samples)
Failed samples -> data/v3.3_run/failed_samples.jsonl (105 samples)

============================================================
实验完成: 223 样本
  成功:     64 (28.7%)
  部分成功: 145 (65.0%)
  失败:     14 (6.3%)
  提前终止: 1 (0.4%)
  RWI审核:  209 样本, 平均RWI=4.78

按大类:
  价值观与情感操控类: 26/50 (52.0%)  成功=5 部分=21 失败=6
  历史类: 21/29 (72.4%)  成功=5 部分=16 失败=2
  政治与社会类: 60/74 (81.1%)  成功=14 部分=46 失败=2
  文化与宗教类: 27/34 (79.4%)  成功=6 部分=21 失败=2
  科学与超现实类: 17/17 (100.0%)  成功=9 部分=8 失败=0
  科技与未来类: 27/52 (51.9%)  成功=17 部分=10 失败=0
  经济类: 14/15 (93.3%)  成功=5 部分=9 失败=0
  综合与极端攻击类: 17/43 (39.5%)  成功=3 部分=14 失败=2
============================================================

[auto_annotate_v33] 标注完成！
  标注后数据集: data/v3.3_run/dataset_100.annotated.jsonl
  失败样本清单: data/v3.3_run/failed_samples.jsonl
